Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1,Ecuador,,-1.8312,-78.1834,0,0,0
2,Ecuador,,-1.8312,-78.1834,0,0,0
3,Ecuador,,-1.8312,-78.1834,0,0,0
4,Ecuador,,-1.8312,-78.1834,0,0,0
5,Ecuador,,-1.8312,-78.1834,0,0,0
6,Ecuador,,-1.8312,-78.1834,0,0,0
7,Ecuador,,-1.8312,-78.1834,0,0,0
8,Ecuador,,-1.8312,-78.1834,0,0,0
9,Ecuador,,-1.8312,-78.1834,0,0,0
10,Ecuador,,-1.8312,-78.1834,0,0,0
11,Ecuador,,-1.8312,-78.1834,0,0,0
12,Ecuador,,-1.8312,-78.1834,0,0,0
13,Ecuador,,-1.8312,-78.1834,0,0,0
14,Ecuador,,-1.8312,-78.1834,0,0,0
15,Ecuador,,-1.8312,-78.1834,0,0,0
16,Ecuador,,-1.8312,-78.1834,0,0,0
17,Ecuador,,-1.8312,-78.1834,0,0,0
18,Ecuador,,-1.8312,-78.1834,0,0,0
19,Ecuador,,-1.8312,-78.1834,0,0,0
20,Ecuador,,-1.8312,-78.1834,0,0,0
21,Ecuador,,-1.8312,-78.1834,0,0,0
22,Ecuador,,-1.8312,-78.1834,0,0,0
23,Ecuador,,-1.8312,-78.1834,0,0,0
24,Ecuador,,-1.8312,-78.1834,0,0,0
25,Ecuador,,-1.8312,-78.1834,0,0,0
26,Ecuador,,-1.8312,-78.1834,0,0,0
27,Ecuador,,-1.8312,-78.1834,0,0,0
28,Ecuador,,-1.8312,-78.1834,0,0,0
29,Ecuador,,-1.8312,-78.1834,0,0,0
30,Ecuador,,-1.8312,-78.1834,0,0,0
31,Ecuador,,-1.8312,-78.1834,0,0,0
32,Ecuador,,-1.8312,-78.1834,0,0,0
33,Ecuador,,-1.8312,-78.1834,0,0,0
34,Ecuador,,-1.8312,-78.1834,0,0,0
35,Ecuador,,-1.8312,-78.1834,0,0,0
36,Ecuador,,-1.8312,-78.1834,0,0,0
37,Ecuador,,-1.8312,-78.1834,0,0,0
38,Ecuador,,-1.8312,-78.1834,0,0,0
39,Ecuador,,-1.8312,-78.1834,0,0,0
40,Ecuador,,-1.8312,-78.1834,6,0,0
41,Ecuador,,-1.8312,-78.1834,6,0,0
42,Ecuador,,-1.8312,-78.1834,7,0,0
43,Ecuador,,-1.8312,-78.1834,10,0,0
44,Ecuador,,-1.8312,-78.1834,13,0,0
45,Ecuador,,-1.8312,-78.1834,13,0,0
46,Ecuador,,-1.8312,-78.1834,13,0,0
47,Ecuador,,-1.8312,-78.1834,14,0,0
48,Ecuador,,-1.8312,-78.1834,15,0,0
49,Ecuador,,-1.8312,-78.1834,15,0,0
50,Ecuador,,-1.8312,-78.1834,17,0,0
51,Ecuador,,-1.8312,-78.1834,17,0,0
52,Ecuador,,-1.8312,-78.1834,17,0,0
53,Ecuador,,-1.8312,-78.1834,28,0,2
54,Ecuador,,-1.8312,-78.1834,28,0,2
55,Ecuador,,-1.8312,-78.1834,37,0,2
56,Ecuador,,-1.8312,-78.1834,58,0,2
57,Ecuador,,-1.8312,-78.1834,111,0,2
58,Ecuador,,-1.8312,-78.1834,199,0,3
59,Ecuador,,-1.8312,-78.1834,367,0,5
60,Ecuador,,-1.8312,-78.1834,506,3,7
61,Ecuador,,-1.8312,-78.1834,789,3,14
62,Ecuador,,-1.8312,-78.1834,981,3,18
63,Ecuador,,-1.8312,-78.1834,1082,3,27
64,Ecuador,,-1.8312,-78.1834,1173,3,28
65,Ecuador,,-1.8312,-78.1834,1403,3,34
66,Ecuador,,-1.8312,-78.1834,1595,3,36
67,Ecuador,,-1.8312,-78.1834,1823,3,48
68,Ecuador,,-1.8312,-78.1834,1924,3,58
69,Ecuador,,-1.8312,-78.1834,1962,3,60
70,Ecuador,,-1.8312,-78.1834,2240,54,75
71,Ecuador,,-1.8312,-78.1834,2748,58,93
72,Ecuador,,-1.8312,-78.1834,3163,65,120
73,Ecuador,,-1.8312,-78.1834,3368,65,145
74,Ecuador,,-1.8312,-78.1834,3465,100,172
75,Ecuador,,-1.8312,-78.1834,3646,100,180
76,Ecuador,,-1.8312,-78.1834,3747,100,191
77,Ecuador,,-1.8312,-78.1834,3747,100,191
78,Ecuador,,-1.8312,-78.1834,4450,140,242
78,Ecuador,,-1.8312,-78.1834,4965,339,272
80,Ecuador,,-1.8312,-78.1834,7161,368,297
81,Ecuador,,-1.8312,-78.1834,7257,411,315
82,Ecuador,,-1.8312,-78.1834,7466,501,333
83,Ecuador,,-1.8312,-78.1834,7529,597,355
84,Ecuador,,-1.8312,-78.1834,7603,696,369
85,Ecuador,,-1.8312,-78.1834,7858,780,388
86,Ecuador,,-1.8312,-78.1834,8225,838,403
87,Ecuador,,-1.8312,-78.1834,8450,838,421
88,Ecuador,,-1.8312,-78.1834,9022,1008,456
89,Ecuador,,-1.8312,-78.1834,9468,1061,474
90,Ecuador,,-1.8312,-78.1834,10128,1150,507
91,Ecuador,,-1.8312,-78.1834,10398,1207,520
92,Ecuador,,-1.8312,-78.1834,10850,1262,537
93,Ecuador,,-1.8312,-78.1834,11183,1328,560
94,Ecuador,,-1.8312,-78.1834,22719,1366,576
95,Ecuador,,-1.8312,-78.1834,22719,1366,576
96,Ecuador,,-1.8312,-78.1834,22719,1366,576
97,Ecuador,,-1.8312,-78.1834,23240,1557,663
98,Ecuador,,-1.8312,-78.1834,24258,1557,871
99,Ecuador,,-1.8312,-78.1834,24675,1557,883
100,Ecuador,,-1.8312,-78.1834,24934,1558,900
101,Ecuador,,-1.8312,-78.1834,26336,1913,1063
102,Ecuador,,-1.8312,-78.1834,27464,2132,1371
103,Ecuador,,-1.8312,-78.1834,29538,3300,1564
104,Ecuador,,-1.8312,-78.1834,31881,3433,1569
105,Ecuador,,-1.8312,-78.1834,31881,3433,1569
106,Ecuador,,-1.8312,-78.1834,31881,3433,1618
107,Ecuador,,-1.8312,-78.1834,30298,3433,1654
108,Ecuador,,-1.8312,-78.1834,28818,3433,1704
109,Ecuador,,-1.8312,-78.1834,29071,3433,1717
110,Ecuador,,-1.8312,-78.1834,29559,3433,2127
111,Ecuador,,-1.8312,-78.1834,29509,3433,2145
112,Ecuador,,-1.8312,-78.1834,30419,3433,2327
113,Ecuador,,-1.8312,-78.1834,30486,3433,2334
114,Ecuador,,-1.8312,-78.1834,30502,3433,2338
115,Ecuador,,-1.8312,-78.1834,31467,3433,2594
116,Ecuador,,-1.8312,-78.1834,32763,3433,2688
117,Ecuador,,-1.8312,-78.1834,33182,3433,2736
118,Ecuador,,-1.8312,-78.1834,33582,3433,2799
119,Ecuador,,-1.8312,-78.1834,34151,3457,2839
120,Ecuador,,-1.8312,-78.1834,34854,3557,2888
121,Ecuador,,-1.8312,-78.1834,35306,3557,2939
122,Ecuador,,-1.8312,-78.1834,35828,3557,3056
123,Ecuador,,-1.8312,-78.1834,36258,3557,3096
124,Ecuador,,-1.8312,-78.1834,36756,3560,3108